Crop Name,Min Temp (°C),Max Temp (°C),Ideal Conditions,Min Soil Moisture (%),Max Soil Moisture (%),Rainfall (mm/year),Soil Type,Sunlight (hours/day),Other Notes
Pumpkin,30,25,Cloudy,35,75,425,Sandy,7,Thrives in humid conditions.
Squash,31,26,Rainy,36,76,426,Clay,8,Requires regular irrigation.
Cauliflower,32,27,Sunny,37,77,427,Silt,9,Ideal for tropical regions.
Cabbage,33,28,Clear,38,78,428,Peaty,10,Prefers well-drained soil.
Broccoli,34,29,Cloudy,39,79,429,Chalky,11,Thrives in humid conditions.
Wheat,5,30,Rainy,40,50,430,Loamy,6,Requires regular irrigation.
Rice,6,31,Sunny,41,51,431,Sandy,7,Ideal for tropical regions.
Corn,7,32,Clear,42,52,432,Clay,8,Prefers well-drained soil.
Soybean,8,33,Cloudy,43,53,433,Silt,9,Thrives in humid conditions.
Barley,9,34,Rainy,44,54,434,Peaty,10,Requires regular irrigation.
Oats,10,35,Sunny,45,55,435,Chalky,11,Ideal for tropical regions.
Sugarcane,11,36,Clear,46,56,436,Loamy,6,Prefers well-drained soil.
Potato,12,37,Cloudy,47,57,437,Sandy,7,Thrives in humid conditions.
Tomato,13,38,Rainy,48,58,438,Clay,8,Requires regular irrigation.
Onion,14,39,Sunny,49,59,439,Silt,9,Ideal for tropical regions.
Garlic,15,20,Clear,10,60,440,Peaty,10,Prefers well-drained soil.
Carrot,16,21,Cloudy,11,61,441,Chalky,11,Thrives in humid conditions.
Spinach,17,22,Rainy,12,62,442,Loamy,6,Requires regular irrigation.
Lettuce,18,23,Sunny,13,63,443,Sandy,7,Ideal for tropical regions.
Peas,19,24,Clear,14,64,444,Clay,8,Prefers well-drained soil.
Chickpeas,20,25,Cloudy,15,65,445,Silt,9,Thrives in humid conditions.
Banana,21,26,Rainy,16,66,446,Peaty,10,Requires regular irrigation.
Apple,22,27,Sunny,17,67,447,Chalky,11,Ideal for tropical regions.
Orange,23,28,Clear,18,68,448,Loamy,6,Prefers well-drained soil.
Grapes,24,29,Cloudy,19,69,449,Sandy,7,Thrives in humid conditions.
Mango,25,30,Rainy,20,70,450,Clay,8,Requires regular irrigation.
Pineapple,26,31,Sunny,21,71,451,Silt,9,Ideal for tropical regions.
Papaya,27,32,Clear,22,72,452,Peaty,10,Prefers well-drained soil.
Strawberry,28,33,Cloudy,23,73,453,Chalky,11,Thrives in humid conditions.
Cucumber,29,34,Rainy,24,74,454,Loamy,6,Requires regular irrigation.
Pumpkin,30,35,Sunny,25,75,455,Sandy,7,Ideal for tropical regions.
Squash,31,36,Clear,26,76,456,Clay,8,Prefers well-drained soil.
Cauliflower,32,37,Cloudy,27,77,457,Silt,9,Thrives in humid conditions.
Cabbage,33,38,Rainy,28,78,458,Peaty,10,Requires regular irrigation.
Broccoli,34,39,Sunny,29,79,459,Chalky,11,Ideal for tropical regions.
Wheat,5,20,Clear,30,50,460,Loamy,6,Prefers well-drained soil.
Rice,6,21,Cloudy,31,51,461,Sandy,7,Thrives in humid conditions.
Corn,7,22,Rainy,32,52,462,Clay,8,Requires regular irrigation.
Soybean,8,23,Sunny,33,53,463,Silt,9,Ideal for tropical regions.
Barley,9,24,Clear,34,54,464,Peaty,10,Prefers well-drained soil.
Oats,10,25,Cloudy,35,55,465,Chalky,11,Thrives in humid conditions.
Sugarcane,11,26,Rainy,36,56,466,Loamy,6,Requires regular irrigation.
Potato,12,27,Sunny,37,57,467,Sandy,7,Ideal for tropical regions.
Tomato,13,28,Clear,38,58,468,Clay,8,Prefers well-drained soil.
Onion,14,29,Cloudy,39,59,469,Silt,9,Thrives in humid conditions.
Garlic,15,30,Rainy,40,60,470,Peaty,10,Requires regular irrigation.
Carrot,16,31,Sunny,41,61,471,Chalky,11,Ideal for tropical regions.
Spinach,17,32,Clear,42,62,472,Loamy,6,Prefers well-drained soil.
Lettuce,18,33,Cloudy,43,63,473,Sandy,7,Thrives in humid conditions.
Peas,19,34,Rainy,44,64,474,Clay,8,Requires regular irrigation.
Chickpeas,20,35,Sunny,45,65,475,Silt,9,Ideal for tropical regions.
Banana,21,36,Clear,46,66,476,Peaty,10,Prefers well-drained soil.
Apple,22,37,Cloudy,47,67,477,Chalky,11,Thrives in humid conditions.
Orange,23,38,Rainy,48,68,478,Loamy,6,Requires regular irrigation.
Grapes,24,39,Sunny,49,69,479,Sandy,7,Ideal for tropical regions.
Mango,25,20,Clear,10,70,480,Clay,8,Prefers well-drained soil.
Pineapple,26,21,Cloudy,11,71,481,Silt,9,Thrives in humid conditions.
Papaya,27,22,Rainy,12,72,482,Peaty,10,Requires regular irrigation.
Strawberry,28,23,Sunny,13,73,483,Chalky,11,Ideal for tropical regions.
Cucumber,29,24,Clear,14,74,484,Loamy,6,Prefers well-drained soil.
Pumpkin,30,25,Cloudy,15,75,485,Sandy,7,Thrives in humid conditions.
Squash,31,26,Rainy,16,76,486,Clay,8,Requires regular irrigation.
Cauliflower,32,27,Sunny,17,77,487,Silt,9,Ideal for tropical regions.
Cabbage,33,28,Clear,18,78,488,Peaty,10,Prefers well-drained soil.
Broccoli,34,29,Cloudy,19,79,489,Chalky,11,Thrives in humid conditions.
Wheat,5,30,Rainy,20,50,490,Loamy,6,Requires regular irrigation.
Rice,6,31,Sunny,21,51,491,Sandy,7,Ideal for tropical regions.
Corn,7,32,Clear,22,52,492,Clay,8,Prefers well-drained soil.
Soybean,8,33,Cloudy,23,53,493,Silt,9,Thrives in humid conditions.
Barley,9,34,Rainy,24,54,494,Peaty,10,Requires regular irrigation.
Oats,10,35,Sunny,25,55,495,Chalky,11,Ideal for tropical regions.
Sugarcane,11,36,Clear,26,56,496,Loamy,6,Prefers well-drained soil.
Potato,12,37,Cloudy,27,57,497,Sandy,7,Thrives in humid conditions.
Tomato,13,38,Rainy,28,58,498,Clay,8,Requires regular irrigation.
Onion,14,39,Sunny,29,59,499,Silt,9,Ideal for tropical regions.
Garlic,15,20,Clear,30,60,500,Peaty,10,Prefers well-drained soil.
Carrot,16,21,Cloudy,31,61,501,Chalky,11,Thrives in humid conditions.
Spinach,17,22,Rainy,32,62,502,Loamy,6,Requires regular irrigation.
Lettuce,18,23,Sunny,33,63,503,Sandy,7,Ideal for tropical regions.
Peas,19,24,Clear,34,64,504,Clay,8,Prefers well-drained soil.
Chickpeas,20,25,Cloudy,35,65,505,Silt,9,Thrives in humid conditions.
Banana,21,26,Rainy,36,66,506,Peaty,10,Requires regular irrigation.
Apple,22,27,Sunny,37,67,507,Chalky,11,Ideal for tropical regions.
Orange,23,28,Clear,38,68,508,Loamy,6,Prefers well-drained soil.
Grapes,24,29,Cloudy,39,69,509,Sandy,7,Thrives in humid conditions.
Mango,25,30,Rainy,40,70,510,Clay,8,Requires regular irrigation.
Pineapple,26,31,Sunny,41,71,511,Silt,9,Ideal for tropical regions.
Papaya,27,32,Clear,42,72,512,Peaty,10,Prefers well-drained soil.
Strawberry,28,33,Cloudy,43,73,513,Chalky,11,Thrives in humid conditions.
Cucumber,29,34,Rainy,44,74,514,Loamy,6,Requires regular irrigation.
Pumpkin,30,35,Sunny,45,75,515,Sandy,7,Ideal for tropical regions.
Squash,31,36,Clear,46,76,516,Clay,8,Prefers well-drained soil.
Cauliflower,32,37,Cloudy,47,77,517,Silt,9,Thrives in humid conditions.
Cabbage,33,38,Rainy,48,78,518,Peaty,10,Requires regular irrigation.
Broccoli,34,39,Sunny,49,79,519,Chalky,11,Ideal for tropical regions.
Wheat,5,20,Clear,10,50,520,Loamy,6,Prefers well-drained soil.
Rice,6,21,Cloudy,11,51,521,Sandy,7,Thrives in humid conditions.
Corn,7,22,Rainy,12,52,522,Clay,8,Requires regular irrigation.
Soybean,8,23,Sunny,13,53,523,Silt,9,Ideal for tropical regions.
Barley,9,24,Clear,14,54,524,Peaty,10,Prefers well-drained soil.
Oats,10,25,Cloudy,15,55,525,Chalky,11,Thrives in humid conditions.
Sugarcane,11,26,Rainy,16,56,526,Loamy,6,Requires regular irrigation.
Potato,12,27,Sunny,17,57,527,Sandy,7,Ideal for tropical regions.
Tomato,13,28,Clear,18,58,528,Clay,8,Prefers well-drained soil.
Onion,14,29,Cloudy,19,59,529,Silt,9,Thrives in humid conditions.
Garlic,15,30,Rainy,20,60,530,Peaty,10,Requires regular irrigation.
Carrot,16,31,Sunny,21,61,531,Chalky,11,Ideal for tropical regions.
Spinach,17,32,Clear,22,62,532,Loamy,6,Prefers well-drained soil.
Lettuce,18,33,Cloudy,23,63,533,Sandy,7,Thrives in humid conditions.
Peas,19,34,Rainy,24,64,534,Clay,8,Requires regular irrigation.
Chickpeas,20,35,Sunny,25,65,535,Silt,9,Ideal for tropical regions.
Banana,21,36,Clear,26,66,536,Peaty,10,Prefers well-drained soil.
Apple,22,37,Cloudy,27,67,537,Chalky,11,Thrives in humid conditions.
Orange,23,38,Rainy,28,68,538,Loamy,6,Requires regular irrigation.
Grapes,24,39,Sunny,29,69,539,Sandy,7,Ideal for tropical regions.
Mango,25,20,Clear,30,70,540,Clay,8,Prefers well-drained soil.
Pineapple,26,21,Cloudy,31,71,541,Silt,9,Thrives in humid conditions.
Papaya,27,22,Rainy,32,72,542,Peaty,10,Requires regular irrigation.
Strawberry,28,23,Sunny,33,73,543,Chalky,11,Ideal for tropical regions.
Cucumber,29,24,Clear,34,74,544,Loamy,6,Prefers well-drained soil.
Pumpkin,30,25,Cloudy,35,75,545,Sandy,7,Thrives in humid conditions.
Squash,31,26,Rainy,36,76,546,Clay,8,Requires regular irrigation.
Cauliflower,32,27,Sunny,37,77,547,Silt,9,Ideal for tropical regions.
Cabbage,33,28,Clear,38,78,548,Peaty,10,Prefers well-drained soil.
Broccoli,34,29,Cloudy,39,79,549,Chalky,11,Thrives in humid conditions.
Wheat,5,30,Rainy,40,50,550,Loamy,6,Requires regular irrigation.
Rice,6,31,Sunny,41,51,551,Sandy,7,Ideal for tropical regions.
Corn,7,32,Clear,42,52,552,Clay,8,Prefers well-drained soil.
Soybean,8,33,Cloudy,43,53,553,Silt,9,Thrives in humid conditions.
Barley,9,34,Rainy,44,54,554,Peaty,10,Requires regular irrigation.
Oats,10,35,Sunny,45,55,555,Chalky,11,Ideal for tropical regions.
Sugarcane,11,36,Clear,46,56,556,Loamy,6,Prefers well-drained soil.
Potato,12,37,Cloudy,47,57,557,Sandy,7,Thrives in humid conditions.
Tomato,13,38,Rainy,48,58,558,Clay,8,Requires regular irrigation.
Onion,14,39,Sunny,49,59,559,Silt,9,Ideal for tropical regions.
Garlic,15,20,Clear,10,60,560,Peaty,10,Prefers well-drained soil.
Carrot,16,21,Cloudy,11,61,561,Chalky,11,Thrives in humid conditions.
Spinach,17,22,Rainy,12,62,562,Loamy,6,Requires regular irrigation.
Lettuce,18,23,Sunny,13,63,563,Sandy,7,Ideal for tropical regions.
Peas,19,24,Clear,14,64,564,Clay,8,Prefers well-drained soil.
Chickpeas,20,25,Cloudy,15,65,565,Silt,9,Thrives in humid conditions.
Banana,21,26,Rainy,16,66,566,Peaty,10,Requires regular irrigation.
Apple,22,27,Sunny,17,67,567,Chalky,11,Ideal for tropical regions.
Orange,23,28,Clear,18,68,568,Loamy,6,Prefers well-drained soil.
Grapes,24,29,Cloudy,19,69,569,Sandy,7,Thrives in humid conditions.
Mango,25,30,Rainy,20,70,570,Clay,8,Requires regular irrigation.
Pineapple,26,31,Sunny,21,71,571,Silt,9,Ideal for tropical regions.
Papaya,27,32,Clear,22,72,572,Peaty,10,Prefers well-drained soil.
Strawberry,28,33,Cloudy,23,73,573,Chalky,11,Thrives in humid conditions.
Cucumber,29,34,Rainy,24,74,574,Loamy,6,Requires regular irrigation.
Pumpkin,30,35,Sunny,25,75,575,Sandy,7,Ideal for tropical regions.
Squash,31,36,Clear,26,76,576,Clay,8,Prefers well-drained soil.
Cauliflower,32,37,Cloudy,27,77,577,Silt,9,Thrives in humid conditions.
Cabbage,33,38,Rainy,28,78,578,Peaty,10,Requires regular irrigation.
Broccoli,34,39,Sunny,29,79,579,Chalky,11,Ideal for tropical regions.
Wheat,5,20,Clear,30,50,580,Loamy,6,Prefers well-drained soil.
Rice,6,21,Cloudy,31,51,581,Sandy,7,Thrives in humid conditions.
Corn,7,22,Rainy,32,52,582,Clay,8,Requires regular irrigation.
Soybean,8,23,Sunny,33,53,583,Silt,9,Ideal for tropical regions.
Barley,9,24,Clear,34,54,584,Peaty,10,Prefers well-drained soil.
Oats,10,25,Cloudy,35,55,585,Chalky,11,Thrives in humid conditions.
Sugarcane,11,26,Rainy,36,56,586,Loamy,6,Requires regular irrigation.
Potato,12,27,Sunny,37,57,587,Sandy,7,Ideal for tropical regions.
Tomato,13,28,Clear,38,58,588,Clay,8,Prefers well-drained soil.
Onion,14,29,Cloudy,39,59,589,Silt,9,Thrives in humid conditions.
Garlic,15,30,Rainy,40,60,590,Peaty,10,Requires regular irrigation.
Carrot,16,31,Sunny,41,61,591,Chalky,11,Ideal for tropical regions.
Spinach,17,32,Clear,42,62,592,Loamy,6,Prefers well-drained soil.
Lettuce,18,33,Cloudy,43,63,593,Sandy,7,Thrives in humid conditions.
Peas,19,34,Rainy,44,64,594,Clay,8,Requires regular irrigation.
Chickpeas,20,35,Sunny,45,65,595,Silt,9,Ideal for tropical regions.
Banana,21,36,Clear,46,66,596,Peaty,10,Prefers well-drained soil.
Apple,22,37,Cloudy,47,67,597,Chalky,11,Thrives in humid conditions.
Orange,23,38,Rainy,48,68,598,Loamy,6,Requires regular irrigation.
Grapes,24,39,Sunny,49,69,599,Sandy,7,Ideal for tropical regions.
Mango,25,20,Clear,10,70,600,Clay,8,Prefers well-drained soil.
Pineapple,26,21,Cloudy,11,71,601,Silt,9,Thrives in humid conditions.
Papaya,27,22,Rainy,12,72,602,Peaty,10,Requires regular irrigation.
Strawberry,28,23,Sunny,13,73,603,Chalky,11,Ideal for tropical regions.
Cucumber,29,24,Clear,14,74,604,Loamy,6,Prefers well-drained soil.
Pumpkin,30,25,Cloudy,15,75,605,Sandy,7,Thrives in humid conditions.
Squash,31,26,Rainy,16,76,606,Clay,8,Requires regular irrigation.
Cauliflower,32,27,Sunny,17,77,607,Silt,9,Ideal for tropical regions.
Cabbage,33,28,Clear,18,78,608,Peaty,10,Prefers well-drained soil.
Broccoli,34,29,Cloudy,19,79,609,Chalky,11,Thrives in humid conditions.
Wheat,5,30,Rainy,20,50,610,Loamy,6,Requires regular irrigation.
Rice,6,31,Sunny,21,51,611,Sandy,7,Ideal for tropical regions.
Corn,7,32,Clear,22,52,612,Clay,8,Prefers well-drained soil.
Soybean,8,33,Cloudy,23,53,613,Silt,9,Thrives in humid conditions.
Barley,9,34,Rainy,24,54,614,Peaty,10,Requires regular irrigation.
Oats,10,35,Sunny,25,55,615,Chalky,11,Ideal for tropical regions.
Sugarcane,11,36,Clear,26,56,616,Loamy,6,Prefers well-drained soil.
Potato,12,37,Cloudy,27,57,617,Sandy,7,Thrives in humid conditions.
Tomato,13,38,Rainy,28,58,618,Clay,8,Requires regular irrigation.
Onion,14,39,Sunny,29,59,619,Silt,9,Ideal for tropical regions.
Garlic,15,20,Clear,30,60,620,Peaty,10,Prefers well-drained soil.
Carrot,16,21,Cloudy,31,61,621,Chalky,11,Thrives in humid conditions.
Spinach,17,22,Rainy,32,62,622,Loamy,6,Requires regular irrigation.
Lettuce,18,23,Sunny,33,63,623,Sandy,7,Ideal for tropical regions.
Peas,19,24,Clear,34,64,624,Clay,8,Prefers well-drained soil.
Chickpeas,20,25,Cloudy,35,65,625,Silt,9,Thrives in humid conditions.
Banana,21,26,Rainy,36,66,626,Peaty,10,Requires regular irrigation.
Apple,22,27,Sunny,37,67,627,Chalky,11,Ideal for tropical regions.
Orange,23,28,Clear,38,68,628,Loamy,6,Prefers well-drained soil.
Grapes,24,29,Cloudy,39,69,629,Sandy,7,Thrives in humid conditions.
Mango,25,30,Rainy,40,70,630,Clay,8,Requires regular irrigation.
Pineapple,26,31,Sunny,41,71,631,Silt,9,Ideal for tropical regions.
Papaya,27,32,Clear,42,72,632,Peaty,10,Prefers well-drained soil.
Strawberry,28,33,Cloudy,43,73,633,Chalky,11,Thrives in humid conditions.
Cucumber,29,34,Rainy,44,74,634,Loamy,6,Requires regular irrigation.
Pumpkin,30,35,Sunny,45,75,635,Sandy,7,Ideal for tropical regions.
Squash,31,36,Clear,46,76,636,Clay,8,Prefers well-drained soil.
Cauliflower,32,37,Cloudy,47,77,637,Silt,9,Thrives in humid conditions.
Cabbage,33,38,Rainy,48,78,638,Peaty,10,Requires regular irrigation.
Broccoli,34,39,Sunny,49,79,639,Chalky,11,Ideal for tropical regions.
Wheat,5,20,Clear,10,50,640,Loamy,6,Prefers well-drained soil.
Rice,6,21,Cloudy,11,51,641,Sandy,7,Thrives in humid conditions.
Corn,7,22,Rainy,12,52,642,Clay,8,Requires regular irrigation.
Soybean,8,23,Sunny,13,53,643,Silt,9,Ideal for tropical regions.
Barley,9,24,Clear,14,54,644,Peaty,10,Prefers well-drained soil.
Oats,10,25,Cloudy,15,55,645,Chalky,11,Thrives in humid conditions.
Sugarcane,11,26,Rainy,16,56,646,Loamy,6,Requires regular irrigation.
Potato,12,27,Sunny,17,57,647,Sandy,7,Ideal for tropical regions.
Tomato,13,28,Clear,18,58,648,Clay,8,Prefers well-drained soil.
Onion,14,29,Cloudy,19,59,649,Silt,9,Thrives in humid conditions.
Garlic,15,30,Rainy,20,60,650,Peaty,10,Requires regular irrigation.
Carrot,16,31,Sunny,21,61,651,Chalky,11,Ideal for tropical regions.
Spinach,17,32,Clear,22,62,652,Loamy,6,Prefers well-drained soil.
Lettuce,18,33,Cloudy,23,63,653,Sandy,7,Thrives in humid conditions.
Peas,19,34,Rainy,24,64,654,Clay,8,Requires regular irrigation.
Chickpeas,20,35,Sunny,25,65,655,Silt,9,Ideal for tropical regions.
Banana,21,36,Clear,26,66,656,Peaty,10,Prefers well-drained soil.
Apple,22,37,Cloudy,27,67,657,Chalky,11,Thrives in humid conditions.
Orange,23,38,Rainy,28,68,658,Loamy,6,Requires regular irrigation.
Grapes,24,39,Sunny,29,69,659,Sandy,7,Ideal for tropical regions.
Mango,25,20,Clear,30,70,660,Clay,8,Prefers well-drained soil.
Pineapple,26,21,Cloudy,31,71,661,Silt,9,Thrives in humid conditions.
Papaya,27,22,Rainy,32,72,662,Peaty,10,Requires regular irrigation.
Strawberry,28,23,Sunny,33,73,663,Chalky,11,Ideal for tropical regions.
Cucumber,29,24,Clear,34,74,664,Loamy,6,Prefers well-drained soil.
Pumpkin,30,25,Cloudy,35,75,665,Sandy,7,Thrives in humid conditions.
Squash,31,26,Rainy,36,76,666,Clay,8,Requires regular irrigation.
Cauliflower,32,27,Sunny,37,77,667,Silt,9,Ideal for tropical regions.
Cabbage,33,28,Clear,38,78,668,Peaty,10,Prefers well-drained soil.
Broccoli,34,29,Cloudy,39,79,669,Chalky,11,Thrives in humid conditions.
Wheat,5,30,Rainy,40,50,670,Loamy,6,Requires regular irrigation.
Rice,6,31,Sunny,41,51,671,Sandy,7,Ideal for tropical regions.
Corn,7,32,Clear,42,52,672,Clay,8,Prefers well-drained soil.
Soybean,8,33,Cloudy,43,53,673,Silt,9,Thrives in humid conditions.
Barley,9,34,Rainy,44,54,674,Peaty,10,Requires regular irrigation.
Oats,10,35,Sunny,45,55,675,Chalky,11,Ideal for tropical regions.
Sugarcane,11,36,Clear,46,56,676,Loamy,6,Prefers well-drained soil.
Potato,12,37,Cloudy,47,57,677,Sandy,7,Thrives in humid conditions.
Tomato,13,38,Rainy,48,58,678,Clay,8,Requires regular irrigation.
Onion,14,39,Sunny,49,59,679,Silt,9,Ideal for tropical regions.
Garlic,15,20,Clear,10,60,680,Peaty,10,Prefers well-drained soil.
Carrot,16,21,Cloudy,11,61,681,Chalky,11,Thrives in humid conditions.
Spinach,17,22,Rainy,12,62,682,Loamy,6,Requires regular irrigation.
Lettuce,18,23,Sunny,13,63,683,Sandy,7,Ideal for tropical regions.
Peas,19,24,Clear,14,64,684,Clay,8,Prefers well-drained soil.
Chickpeas,20,25,Cloudy,15,65,685,Silt,9,Thrives in humid conditions.
Banana,21,26,Rainy,16,66,686,Peaty,10,Requires regular irrigation.
Apple,22,27,Sunny,17,67,687,Chalky,11,Ideal for tropical regions.
Orange,23,28,Clear,18,68,688,Loamy,6,Prefers well-drained soil.
Grapes,24,29,Cloudy,19,69,689,Sandy,7,Thrives in humid conditions.
Mango,25,30,Rainy,20,70,690,Clay,8,Requires regular irrigation.
Pineapple,26,31,Sunny,21,71,691,Silt,9,Ideal for tropical regions.
Papaya,27,32,Clear,22,72,692,Peaty,10,Prefers well-drained soil.
Strawberry,28,33,Cloudy,23,73,693,Chalky,11,Thrives in humid conditions.
Cucumber,29,34,Rainy,24,74,694,Loamy,6,Requires regular irrigation.
Pumpkin,30,35,Sunny,25,75,695,Sandy,7,Ideal for tropical regions.
Squash,31,36,Clear,26,76,696,Clay,8,Prefers well-drained soil.
Cauliflower,32,37,Cloudy,27,77,697,Silt,9,Thrives in humid conditions.
Cabbage,33,38,Rainy,28,78,698,Peaty,10,Requires regular irrigation.
Broccoli,34,39,Sunny,29,79,699,Chalky,11,Ideal for tropical regions.
Wheat,5,20,Clear,30,50,700,Loamy,6,Prefers well-drained soil.
Rice,6,21,Cloudy,31,51,701,Sandy,7,Thrives in humid conditions.
Corn,7,22,Rainy,32,52,702,Clay,8,Requires regular irrigation.
Soybean,8,23,Sunny,33,53,703,Silt,9,Ideal for tropical regions.
Barley,9,24,Clear,34,54,704,Peaty,10,Prefers well-drained soil.
Oats,10,25,Cloudy,35,55,705,Chalky,11,Thrives in humid conditions.
Sugarcane,11,26,Rainy,36,56,706,Loamy,6,Requires regular irrigation.
Potato,12,27,Sunny,37,57,707,Sandy,7,Ideal for tropical regions.
Tomato,13,28,Clear,38,58,708,Clay,8,Prefers well-drained soil.
Onion,14,29,Cloudy,39,59,709,Silt,9,Thrives in humid conditions.
Garlic,15,30,Rainy,40,60,710,Peaty,10,Requires regular irrigation.
Carrot,16,31,Sunny,41,61,711,Chalky,11,Ideal for tropical regions.
Spinach,17,32,Clear,42,62,712,Loamy,6,Prefers well-drained soil.
Lettuce,18,33,Cloudy,43,63,713,Sandy,7,Thrives in humid conditions.
Peas,19,34,Rainy,44,64,714,Clay,8,Requires regular irrigation.
Chickpeas,20,35,Sunny,45,65,715,Silt,9,Ideal for tropical regions.
Banana,21,36,Clear,46,66,716,Peaty,10,Prefers well-drained soil.
Apple,22,37,Cloudy,47,67,717,Chalky,11,Thrives in humid conditions.
Orange,23,38,Rainy,48,68,718,Loamy,6,Requires regular irrigation.
Grapes,24,39,Sunny,49,69,719,Sandy,7,Ideal for tropical regions.
Mango,25,20,Clear,10,70,720,Clay,8,Prefers well-drained soil.
Pineapple,26,21,Cloudy,11,71,721,Silt,9,Thrives in humid conditions.
Papaya,27,22,Rainy,12,72,722,Peaty,10,Requires regular irrigation.
Strawberry,28,23,Sunny,13,73,723,Chalky,11,Ideal for tropical regions.
Cucumber,29,24,Clear,14,74,724,Loamy,6,Prefers well-drained soil.
Pumpkin,30,25,Cloudy,15,75,725,Sandy,7,Thrives in humid conditions.
Squash,31,26,Rainy,16,76,726,Clay,8,Requires regular irrigation.
Cauliflower,32,27,Sunny,17,77,727,Silt,9,Ideal for tropical regions.
Cabbage,33,28,Clear,18,78,728,Peaty,10,Prefers well-drained soil.
Broccoli,34,29,Cloudy,19,79,729,Chalky,11,Thrives in humid conditions.
Wheat,5,30,Rainy,20,50,730,Loamy,6,Requires regular irrigation.
Rice,6,31,Sunny,21,51,731,Sandy,7,Ideal for tropical regions.
Corn,7,32,Clear,22,52,732,Clay,8,Prefers well-drained soil.
Soybean,8,33,Cloudy,23,53,733,Silt,9,Thrives in humid conditions.
Barley,9,34,Rainy,24,54,734,Peaty,10,Requires regular irrigation.
Oats,10,35,Sunny,25,55,735,Chalky,11,Ideal for tropical regions.
Sugarcane,11,36,Clear,26,56,736,Loamy,6,Prefers well-drained soil.
Potato,12,37,Cloudy,27,57,737,Sandy,7,Thrives in humid conditions.
Tomato,13,38,Rainy,28,58,738,Clay,8,Requires regular irrigation.
Onion,14,39,Sunny,29,59,739,Silt,9,Ideal for tropical regions.
Garlic,15,20,Clear,30,60,740,Peaty,10,Prefers well-drained soil.
Carrot,16,21,Cloudy,31,61,741,Chalky,11,Thrives in humid conditions.
Spinach,17,22,Rainy,32,62,742,Loamy,6,Requires regular irrigation.
Lettuce,18,23,Sunny,33,63,743,Sandy,7,Ideal for tropical regions.
Peas,19,24,Clear,34,64,744,Clay,8,Prefers well-drained soil.
Chickpeas,20,25,Cloudy,35,65,745,Silt,9,Thrives in humid conditions.
Banana,21,26,Rainy,36,66,746,Peaty,10,Requires regular irrigation.
Apple,22,27,Sunny,37,67,747,Chalky,11,Ideal for tropical regions.
Orange,23,28,Clear,38,68,748,Loamy,6,Prefers well-drained soil.
Grapes,24,29,Cloudy,39,69,749,Sandy,7,Thrives in humid conditions.
Mango,25,30,Rainy,40,70,750,Clay,8,Requires regular irrigation.
Pineapple,26,31,Sunny,41,71,751,Silt,9,Ideal for tropical regions.
Papaya,27,32,Clear,42,72,752,Peaty,10,Prefers well-drained soil.
Strawberry,28,33,Cloudy,43,73,753,Chalky,11,Thrives in humid conditions.
Cucumber,29,34,Rainy,44,74,754,Loamy,6,Requires regular irrigation.
Pumpkin,30,35,Sunny,45,75,755,Sandy,7,Ideal for tropical regions.
Squash,31,36,Clear,46,76,756,Clay,8,Prefers well-drained soil.
Cauliflower,32,37,Cloudy,47,77,757,Silt,9,Thrives in humid conditions.
Cabbage,33,38,Rainy,48,78,758,Peaty,10,Requires regular irrigation.
